"ID","info","inCore","count","MK-ID"
"Mugnier C, 2004, J EXP MAR BIOL ECOL","Mugnier C, 2004, J EXP MAR BIOL ECOL, V309, P35",False,1,"None"
"Naylor Rl, 2000, NATURE","Naylor Rl, 2000, NATURE, V405, P1017",False,5,"None"
"Patterson L, 2007, MAR BIOL","Patterson L, 2007, MAR BIOL, V152, P265",False,1,"None"
"Qin Bq, 2007, HYDROBIOLOGIA","Qin Bq, 2007, HYDROBIOLOGIA, V581, P3",False,1,"None"
"Racotta Is, 2000, COMP BIOCHEM PHYS A","Racotta Is, 2000, COMP BIOCHEM PHYS A, V125, P437",False,1,"None"
"Romano N, 2009, ECOTOX ENVIRON SAFE","Romano N, 2009, ECOTOX ENVIRON SAFE, V72, P1287",False,1,"None"
"Sowers A, 2004, J WORLD AQUACULT SOC","Sowers A, 2004, J WORLD AQUACULT SOC, V35, P445",False,1,"None"
"Stentiford Gd, 2001, GEN COMP ENDOCR","Stentiford Gd, 2001, GEN COMP ENDOCR, V121, P13",False,1,"None"
"Tanzer Ml, 1959, J BIOL CHEM","Tanzer Ml, 1959, J BIOL CHEM, V234, P3201",False,1,"None"
"Tomasso J R, 1994, REV FISHERIES SCI","Tomasso J R, 1994, REV FISHERIES SCI, V2, P291",False,1,"None"
"Van Harreveld A, 1936, P SOC EXP BIOL MED","Van Harreveld A, 1936, P SOC EXP BIOL MED, V34, P428",False,1,"None"
"Wallimann T, 1992, BIOCHEM J","Wallimann T, 1992, BIOCHEM J, V281, P21",False,1,"None"
"Wang Wn, 2004, AQUACULTURE","Wang Wn, 2004, AQUACULTURE, V232, P679",False,1,"None"
"Xuan Rj, 2011, COMP BIOCHEM PHYS C","Xuan Rj, 2011, COMP BIOCHEM PHYS C, V154, P268",False,1,"None"
"Yildiz Hy, 2004, ECOTOX ENVIRON SAFE","Yildiz Hy, 2004, ECOTOX ENVIRON SAFE, V59, P370",False,1,"None"
"Acosta-Nassar Marco V, 1994, JOURNAL OF THE WORLD AQUACULTURE SOCIETY","Acosta-Nassar Marco V, 1994, JOURNAL OF THE WORLD AQUACULTURE SOCIETY, V25, P261",False,1,"None"
"Alabaster Js, 1982, EIFAC TECHNICAL PAPE","Alabaster Js, 1982, EIFAC TECHNICAL PAPE, V41, P5",False,1,"None"
"Andersen Jm, 1974, ARCH HYDROBIOL","Andersen Jm, 1974, ARCH HYDROBIOL, V74, P528",False,1,"None"
"Andersen Tk, 1984, MAR BIOL","Andersen Tk, 1984, MAR BIOL, V83, P171",False,1,"None"
"Avnimelech Y, 1979, BAMIDGEH","Avnimelech Y, 1979, BAMIDGEH, V31, P3",False,1,"None"
"Avnimelech Y, 1986, AQUACULTURE AND FISHERIES MANAGEMENT","Avnimelech Y, 1986, AQUACULTURE AND FISHERIES MANAGEMENT, V17, P231",False,1,"None"
"Avnimelech Y, 1989, ISR J AQUACULT-BAMID","Avnimelech Y, 1989, ISR J AQUACULT-BAMID, V41, P58",False,1,"None"
"Avnimelech Y, 1984, SPECIAL PUBLICATION","Avnimelech Y, 1984, SPECIAL PUBLICATION, V8, P41",False,1,"None"
"Ayub M, 1993, PROG FISH CULT","Ayub M, 1993, PROG FISH CULT, V55, P210",False,1,"None"
"Belser Lw, 1979, ANNU REV MICROBIOL","Belser Lw, 1979, ANNU REV MICROBIOL, V83, P171",False,1,"None"
"Beveridge Mcm, 1989, AQUACULTURE","Beveridge Mcm, 1989, AQUACULTURE, V81, P373",False,1,"None"
"Beveridge Mcm, 1994, PROG FISH CULT","Beveridge Mcm, 1994, PROG FISH CULT, V56, P282",False,1,"None"
"Billen G, 1978, ESTUAR COAST MAR SCI","Billen G, 1978, ESTUAR COAST MAR SCI, V7, P127",False,1,"None"
"Binnerup Sj, 1992, APPL ENVIRON MICROB","Binnerup Sj, 1992, APPL ENVIRON MICROB, V58, P303",False,1,"None"
"Blackburn Th, 1988, MAR ECOL PROG SER","Blackburn Th, 1988, MAR ECOL PROG SER, V44, P221",False,1,"None"
"Blackburn Th, 1983, LIMNOL OCEANOGR","Blackburn Th, 1983, LIMNOL OCEANOGR, V28, P477",False,1,"None"
"Blackburn Th, 1979, APPL ENVIRON MICROB","Blackburn Th, 1979, APPL ENVIRON MICROB, V37, P760",False,1,"None"
"Boyd C E, 1990, WATER QUALITY PONDS","Boyd C E, 1990, WATER QUALITY PONDS",False,2,"None"
"Boyd Ce, 1992, PROCEEDINGS OF THE SPECIAL SESSION ON SHRIMP FARMING","Boyd Ce, 1992, PROCEEDINGS OF THE SPECIAL SESSION ON SHRIMP FARMING, P166",False,1,"None"
"Boyd Ce, 1985, T AM FISH SOC","Boyd Ce, 1985, T AM FISH SOC, V114, P291",False,1,"None"
"Boyd Ce, 1984, PROG FISH CULT","Boyd Ce, 1984, PROG FISH CULT, V46, P37",False,1,"None"
"Boyd Ce, 1994, WORLD AQUACULTURE","Boyd Ce, 1994, WORLD AQUACULTURE, V25, P578",False,1,"None"
"Boyd Claude E, 1994, JOURNAL OF THE WORLD AQUACULTURE SOCIETY","Boyd Claude E, 1994, JOURNAL OF THE WORLD AQUACULTURE SOCIETY, V25, P517",False,1,"None"
"Boynton Wr, 1980, ESTUARINE PERSPECTIV","Boynton Wr, 1980, ESTUARINE PERSPECTIV, P93",False,1,"None"
"Breukelaar Aw, 1994, FRESHWATER BIOL","Breukelaar Aw, 1994, FRESHWATER BIOL, V32, P113",False,1,"None"
"Briggs M R P, 1996, AQUACULTURE RESEARCH","Briggs M R P, 1996, AQUACULTURE RESEARCH, V27, P301",False,1,"None"
"Briggs M R P, 1994, AQUACULTURE AND FISHERIES MANAGEMENT","Briggs M R P, 1994, AQUACULTURE AND FISHERIES MANAGEMENT, V25, P789",False,1,"None"
"Brown P B, 1989, JOURNAL OF THE WORLD AQUACULTURE SOCIETY","Brown P B, 1989, JOURNAL OF THE WORLD AQUACULTURE SOCIETY, V20, P245",False,1,"None"
"Caffrey Jm, 1995, ESTUARIES","Caffrey Jm, 1995, ESTUARIES, V18, P219",False,1,"None"
"Callender E, 1982, ESTUAR COAST SHELF S","Callender E, 1982, ESTUAR COAST SHELF S, V15, P395",False,1,"None"
"Carpenter Ke, 1986, P21","Carpenter Ke, 1986, P21",False,1,"None"
"Cerco Cf, 1989, HYDROBIOLOGIA","Cerco Cf, 1989, HYDROBIOLOGIA, V174, P185",False,1,"None"
"Chan Yk, 1980, CAN J FISH AQUAT SCI","Chan Yk, 1980, CAN J FISH AQUAT SCI, V37, P506",False,1,"None"
"Chan Yk, 1979, APPL ENVIRON MICROB","Chan Yk, 1979, APPL ENVIRON MICROB, V37, P1067",False,1,"None"
"Chatarpaul L, 1980, CAN J FISH AQUAT SCI","Chatarpaul L, 1980, CAN J FISH AQUAT SCI, V37, P656",False,1,"None"
"Chiayvareesajja S, 1993, AQUACULTURE","Chiayvareesajja S, 1993, AQUACULTURE, V116, P33",False,1,"None"
"Chiba K, 1986, 1 AS FISH FOR AS FIS","Chiba K, 1986, 1 AS FISH FOR AS FIS, P31",False,1,"None"
"Chien Yh, 1992, PROCEEDINGS OF THE SPECIAL SESSION ON SHRIMP FARMING","Chien Yh, 1992, PROCEEDINGS OF THE SPECIAL SESSION ON SHRIMP FARMING, P144",False,1,"None"
"Clifford Hc, 1992, PROCEEDINGS OF THE SPECIAL SESSION ON SHRIMP FARMING","Clifford Hc, 1992, PROCEEDINGS OF THE SPECIAL SESSION ON SHRIMP FARMING, P110",False,1,"None"
"Cline Jm, 1994, HYDROBIOLOGIA","Cline Jm, 1994, HYDROBIOLOGIA, V275, P301",False,1,"None"
"Cole Ba, 1986, PROG FISH CULT","Cole Ba, 1986, PROG FISH CULT, V48, P25",False,1,"None"
"Colt J, 1991, AQUACULT ENG","Colt J, 1991, AQUACULT ENG, V10, P1",False,1,"None"
"Colt J, 1978, AQUACULTURE","Colt J, 1978, AQUACULTURE, V15, P353",False,1,"None"
"Costa-Pierce Ba, 1989, AQUABYTE","Costa-Pierce Ba, 1989, AQUABYTE, V2, P5",False,1,"None"
"Dangelo Em, 1993, SOIL SCI SOC AM J","Dangelo Em, 1993, SOIL SCI SOC AM J, V57, P1156",False,1,"None"
"Daniels H V, 1989, JOURNAL OF THE WORLD AQUACULTURE SOCIETY","Daniels H V, 1989, JOURNAL OF THE WORLD AQUACULTURE SOCIETY, V20, P53",False,1,"None"
"Delaune R D, 1989, NORTHEAST GULF SCIENCE","Delaune R D, 1989, NORTHEAST GULF SCIENCE, V10, P163",False,1,"None"
"Delaune Rd, 1987, J ENVIRON QUAL","Delaune Rd, 1987, J ENVIRON QUAL, V16, P227",False,1,"None"
"Delaune Rd, 1991, J ENVIRON SCI HEAL A","Delaune Rd, 1991, J ENVIRON SCI HEAL A, V26, P1287",False,1,"None"
"Diab S, 1992, AQUACULTURE","Diab S, 1992, AQUACULTURE, V101, P33",False,2,"None"
"Diab S, 1986, BAMIDGEH","Diab S, 1986, BAMIDGEH, V38, P67",False,1,"None"
"Elsamra Mi, 1979, AQUACULTURE","Elsamra Mi, 1979, AQUACULTURE, V18, P367",False,1,"None"
"Eppley Rw, 1969, LIMNOL OCEANOGR","Eppley Rw, 1969, LIMNOL OCEANOGR, V14, P912",False,1,"None"
"Erickson Mj, IN PRESS LAKE RESERV","Erickson Mj, IN PRESS LAKE RESERV",False,1,"None"
"Fast Aw, 1992, MARINE SHRIMP CULTUR","Fast Aw, 1992, MARINE SHRIMP CULTUR, P457",False,1,"None"
"Fenchel T, 1979, BACTERIA MINERAL CYC","Fenchel T, 1979, BACTERIA MINERAL CYC",False,1,"None"
"Ferrara Ra, 1982, J WATER POLLUT CON F","Ferrara Ra, 1982, J WATER POLLUT CON F, V54, P361",False,1,"None"
"Fillos J, 1975, J WATER POLLUT CON F","Fillos J, 1975, J WATER POLLUT CON F, V47, P1032",False,1,"None"
"Focht D D, 1977, ADV MICROB ECOL","Focht D D, 1977, ADV MICROB ECOL, P135",False,1,"None"
"Folke C, 1989, AMBIO","Folke C, 1989, AMBIO, V18, P234",False,1,"None"
"Foree Eg, 1971, ADV WATER POLLUTION","Foree Eg, 1971, ADV WATER POLLUTION, V2",False,1,"None"
"Foy Rh, 1991, AQUACULTURE","Foy Rh, 1991, AQUACULTURE, V96, P31",False,3,"None"
"Freedman Pl, 1977, J ENV ENG DIV-ASCE","Freedman Pl, 1977, J ENV ENG DIV-ASCE, V103, P233",False,1,"None"
"Goldman Jc, 1979, WATER RES","Goldman Jc, 1979, WATER RES, V13, P119",False,1,"None"
"Gowen Rj, 1987, OCEANOGR MAR BIOL","Gowen Rj, 1987, OCEANOGR MAR BIOL, V25, P563",False,1,"None"
"Green Bartholomew W, 1995, JOURNAL OF THE WORLD AQUACULTURE SOCIETY","Green Bartholomew W, 1995, JOURNAL OF THE WORLD AQUACULTURE SOCIETY, V26, P284",False,1,"None"
"Green Bw, 1989, AQUACULTURE","Green Bw, 1989, AQUACULTURE, V76, P37",False,1,"None"
"Hall Poj, 1992, MAR ECOL PROG SER","Hall Poj, 1992, MAR ECOL PROG SER, V89, P81",False,4,"None"
"Hansen Ji, 1981, MICROBIAL ECOL","Hansen Ji, 1981, MICROBIAL ECOL, V7, P297",False,1,"None"
"Hargrave Bt, 1993, MAR ECOL PROG SER","Hargrave Bt, 1993, MAR ECOL PROG SER, V96, P249",False,1,"None"
"Hargreaves Ja, 1997, AQUACULT ENG","Hargreaves Ja, 1997, AQUACULT ENG, V16, P27",False,1,"None"
